site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,15,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,15873,-0.008818,-0.013072,-0.005033,-4.096,,4.2e-05,yes
asp,30,all,CRPS_level,icp|static,,42411,38.3417,35.4052,41.3558,,,,
asp,30,all,CRPS_level,icp_norm|static,,42411,35.7916,33.4691,38.1579,,,,
asp,30,all,CRPS_level,mondrian|static,,42411,32.1279,29.4657,34.8136,,,,
asp,30,all,CRPS_level,cqr|static,,42411,26.5967,24.4165,28.7607,,,,
asp,30,all,CRPS_level,mondrian_cqr|static,,42411,26.5931,24.4136,28.7581,,,,
asp,30,all,CRPS_level,cqr|rearranged,,42411,26.5881,24.4096,28.7514,,,,
asp,30,all,CRPS_level,mondrian_cqr|rearranged,,42411,26.5844,24.4046,28.749,,,,
asp,30,all,CRPS_diff,icp,icp_norm,42411,2.55,1.8686,3.2534,6.565,0.0,0.0,yes
asp,30,all,CRPS_diff,icp,mondrian,42411,6.2138,5.5236,6.9409,16.978,0.0,0.0,yes
