site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
yulara,15,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,27.91,272.29,0.9183,0.8351,,,,,,
yulara,15,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.8,36.28,382.27,0.8938,0.7684,0.8671,0.9178,0.7018,0.8311,269.1151,500.5139
yulara,15,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.85,34.47,245.75,0.8991,0.8511,,,,,,
yulara,15,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,27.91,272.29,0.9183,0.8351,0.8962,0.9374,0.7764,0.8871,183.7406,373.3748
yulara,15,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,91.05,369.61,0.7335,0.7761,0.6955,0.7665,0.7452,0.8051,328.0729,405.905
yulara,15,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,31.96,227.97,0.9064,0.8619,0.8869,0.9234,0.8264,0.8937,175.8071,282.205
yulara,15,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.775,29.46,247.46,0.9138,0.8501,,,,,,
yulara,15,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.8,31.96,227.97,0.9064,0.8619,0.8869,0.9234,0.8264,0.8937,175.8071,282.205
yulara,15,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.775,29.46,247.46,0.9138,0.8501,,,,,,
yulara,15,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.8,31.96,227.97,0.9064,0.8619,0.8869,0.9234,0.8264,0.8937,175.8071,282.205
yulara,15,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,95.7,383.54,0.7199,0.7677,0.6752,0.7583,0.7324,0.7961,347.7268,423.5695
yulara,30,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,57.54,431.79,0.8758,0.8329,0.8513,0.8973,0.7937,0.8726,333.163,512.9022
yulara,30,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.775,57.02,468.43,0.8769,0.8188,,,,,,
yulara,30,cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,62.99,397.62,0.864,0.8462,0.8376,0.8868,0.8074,0.881,313.7968,476.4442
yulara,30,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.775,57.02,468.43,0.8769,0.8188,,,,,,
